op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,centrs,Tērbatas 41/43,5,164.0,4.0,5.0,P. kara,Masonry,All amenities,260000.0,56.9557759,24.1253193
For sale,Teika,Caunes 10,3,86.0,3.0,7.0,Specpr.,Brick,All amenities,98000.0,56.98133745,24.187762102762125
For sale,centrs,Tērbatas 37,5,109.0,5.0,5.0,P. kara,Masonry,All amenities,150000.0,56.955472,24.1246883
For sale,Āgenskalns,Ormaņu 3,1,23.0,2.0,2.0,P. kara,Wood,Partial amenities,14900.0,56.9386726,24.0704405
For sale,Maskavas priekšpilsēta,Lomonosova 3,2,49.0,5.0,6.0,P. kara,Masonry,All amenities,67000.0,56.93915935,24.15619314299113
For sale,centrs,Valmieras 30,1,20.0,2.0,2.0,P. kara,Wood,All amenities,12000.0,56.9524291,24.151222252628035
For sale,Imanta,Anniņmuižas bulvāris 52,3,65.0,6.0,9.0,602.,Panel,All amenities,64000.0,56.95911535000001,24.00954418102808
For sale,Pļavnieki,Zemes 2,2,50.0,4.0,9.0,602.,Panel,All amenities,47000.0,56.94175645,24.197575886095947
For sale,Citi,Robežu 2,2,45.0,1.0,2.0,P. kara,Wood,Partial amenities,27500.0,56.91992425,24.08743798933371
For sale,Iļģuciems,Buļļu 42a,1,45.0,5.0,9.0,119.,Panel,All amenities,47800.0,56.9682471,24.0497274
For sale,Iļģuciems,Skujenes 11,2,45.0,1.0,5.0,Hrušč.,Brick,All amenities,47500.0,56.96300795,24.04859825
For sale,Vecmīlgrāvis,Stiebru 3,1,42.0,5.0,5.0,M. ģim.,Panel,All amenities,29950.0,57.03437255,24.094572182456588
For sale,Vecmīlgrāvis,Emmas 11,3,68.0,4.0,5.0,LT proj.,Panel,All amenities,48500.0,57.02968905,24.10866450202804
For sale,Āgenskalns,Kristapa 16,1,20.0,1.0,5.0,Hrušč.,Brick,All amenities,33400.0,56.9438278,24.06281933691709
For sale,Purvciems,Nīcgales 9,3,63.0,4.0,5.0,LT proj.,Panel,All amenities,55990.0,56.95724010000001,24.177962200000003
For sale,Purvciems,Staiceles 15,3,63.0,4.0,9.0,602.,Panel,All amenities,58000.0,56.95828335,24.172910526855468
For sale,Iļģuciems,Lilijas 15,2,42.0,2.0,5.0,Hrušč.,Brick,All amenities,41500.0,56.96472115,24.065679850492057
For sale,Citi,Lielupes 64,2,51.0,3.0,5.0,LT proj.,Panel,All amenities,33700.0,57.0313424,24.05559245
For sale,Ķengarags,Rasas 4,3,56.0,5.0,5.0,LT proj.,Panel,All amenities,49000.0,56.90364565,24.20167460058073
For sale,Vecrīga,Vāgnera 12,3,49.0,3.0,3.0,P. kara,Masonry,All amenities,123500.0,56.94881585,24.11147385910852
For sale,Purvciems,Žagatu 20,3,64.0,8.0,9.0,602.,Panel,All amenities,66500.0,56.9636591,24.18797799821649
For sale,Teika,Ropažu 17,1,35.0,1.0,3.0,P. kara,Masonry,All amenities,25000.0,56.97693595,24.171783011498825
For sale,Purvciems,Dudajeva g. 12,3,66.0,5.0,5.0,LT proj.,Panel,All amenities,93000.0,56.9570069,24.1987368
For sale,Dārzciems,Stopiņu 14,2,49.0,1.0,5.0,Jaun.,Masonry,All amenities,63000.0,56.9485064,24.16960775370974
For sale,Āgenskalns,Alīses 5,2,41.0,3.0,5.0,Renov.,Masonry,All amenities,89100.0,56.94520010000001,24.06898779128
For sale,Āgenskalns,Alīses 5,2,51.0,3.0,5.0,Renov.,Masonry,All amenities,112200.0,56.94520010000001,24.06898779128
For sale,Ziepniekkalns,Komētas 22,2,65.0,2.0,4.0,Jaun.,Panel-Brick,All amenities,99840.0,56.914968,24.12289
For sale,Ziepniekkalns,Komētas 20,4,141.0,4.0,4.0,Jaun.,Panel-Brick,All amenities,199950.0,56.914968,24.12289
For sale,Ziepniekkalns,Komētas 22,3,77.0,2.0,4.0,Jaun.,Panel-Brick,All amenities,126000.0,56.914968,24.12289
For sale,centrs,Briāna 4,1,41.0,1.0,5.0,Renov.,Masonry,All amenities,68842.0,56.9629058,24.128417603035807
For sale,centrs,Blaumaņa 12,3,86.0,5.0,6.0,Renov.,Masonry,All amenities,205920.0,56.9548306,24.1221141
For sale,Vecrīga,Vāgnera 12,3,76.0,2.0,3.0,Renov.,Brick,All amenities,158000.0,56.94881585,24.11147385910852
For sale,Ķengarags,Maskavas 268/3,3,59.0,4.0,5.0,LT proj.,Brick-Panel,All amenities,60500.0,56.94475115,24.11321727806241
For sale,centrs,Tomsona 30,2,83.0,6.0,9.0,Jaun.,Brick-Panel,All amenities,160000.0,56.9665863,24.1282258
For sale,centrs,Tērbatas 46,3,87.0,5.0,6.0,P. kara,Brick,All amenities,193000.0,56.9559527,24.1267505
For sale,centrs,Blaumaņa 12,3,62.0,2.0,6.0,Renov.,Masonry,All amenities,141910.0,56.9548306,24.1221141
For sale,Citi,Dzērvju 3,3,61.0,5.0,9.0,467.,Panel,All amenities,63000.0,56.93086485,24.16502786880196
For sale,Vecrīga,Šķūņu 13,4,134.0,6.0,7.0,P. kara,Masonry,All amenities,260000.0,56.9492894,24.1070803
For sale,Ziepniekkalns,Ozolciema 24/1,3,75.0,3.0,10.0,119.,Panel,All amenities,72000.0,56.8990307,24.0785989
For sale,centrs,Miera 87,3,116.0,1.0,5.0,P. kara,Masonry,All amenities,150000.0,56.9725816,24.14080893328192
For sale,Dzegužkalns,Dagmāras 4,2,55.0,5.0,5.0,Specpr.,Brick,All amenities,47000.0,56.96027135,24.059703486394724
For sale,centrs,Matīsa 85,2,48.0,1.0,4.0,P. kara,Masonry,All amenities,77000.0,56.9526541,24.1433157
For sale,Pļavnieki,Jasmuižas 12,1,32.0,3.0,9.0,467.,Panel,All amenities,35000.0,56.93620525,24.21234981341623
For sale,centrs,Elizabetes 9,1,27.0,1.0,5.0,P. kara,Masonry,All amenities,63000.0,56.9592539,24.100972
For sale,Dzegužkalns,Dzirciema 52,1,33.7,2.0,5.0,103.,Brick-Panel,All amenities,41900.0,56.9618905,24.054688837119976
For sale,Iļģuciems,Daugavgrīvas 132,2,73.0,2.0,4.0,Staļina,Masonry,All amenities,85000.0,56.96895055,24.07125109079925
For sale,Sarkandaugava,Sliežu 29,2,44.0,3.0,3.0,Specpr.,Brick,All amenities,29500.0,57.00751995,24.12498495
For sale,Vecmīlgrāvis,Baltāsbaznīcas 44,2,52.0,2.0,3.0,Staļina,Masonry,All amenities,42000.0,57.03669789999999,24.0897398
For sale,Purvciems,Ieriķu 58,1,43.0,7.0,9.0,Specpr.,Brick,All amenities,49000.0,56.9655674,24.183004313625368
For sale,Citi,"Lemešu iela 3 k-1, Rīga",3,54.0,5.0,5.0,LT proj.,Panel,All amenities,52000.0,57.0336365,24.056896527656107
For sale,centrs,Dzirnavu 6,2,34.0,2.0,4.0,Renov.,Masonry,All amenities,75000.0,56.9612002,24.107539410990757
For sale,Jugla,Veldres 11,1,32.0,4.0,5.0,LT proj.,Brick-Panel,All amenities,35000.0,56.97476385,24.24616667509968
For sale,Purvciems,Stirnu 22,2,39.0,2.0,5.0,Specpr.,Brick-Panel,All amenities,40000.0,56.956179500000005,24.1835724
For sale,centrs,Maskavas 93,2,49.0,3.0,4.0,P. kara,Brick,All amenities,55500.0,56.9392398,24.1400505298294
For sale,Maskavas priekšpilsēta,Pirts 9,2,49.0,3.0,4.0,P. kara,Masonry,All amenities,55500.0,56.9390032,24.13741884534884
For sale,Purvciems,Purvciema 46,1,46.0,5.0,5.0,M. ģim.,Panel,All amenities,31500.0,56.95423785,24.183842
For sale,centrs,"Pulkveža brieža iela 35, Rīga",3,73.0,2.0,7.0,Jaun.,Brick-Panel,All amenities,145000.0,56.9679821,24.1065785
For sale,centrs,Merķeļa 7,1,25.0,5.0,5.0,P. kara,Masonry,All amenities,64990.0,56.948901600000006,24.1191083
For sale,centrs,Merķeļa 7,1,19.77,3.0,5.0,P. kara,Masonry,All amenities,42990.0,56.948901600000006,24.1191083
For sale,centrs,Pērses 13,4,97.0,4.0,5.0,P. kara,Masonry,All amenities,165000.0,56.95129789999999,24.1255555
For sale,Purvciems,Dzelzavas 33,1,32.0,4.0,5.0,LT proj.,Brick-Panel,All amenities,36000.0,56.9601831,24.1809678
For sale,Ziepniekkalns,Ozolciema 34,1,44.0,3.0,9.0,M. ģim.,Panel,All amenities,35500.0,56.90025155,24.09852747825459
For sale,Ziepniekkalns,Komētas 8,4,141.01,4.0,4.0,Jaun.,Panel-Brick,All amenities,199000.0,56.91394475,24.125373937990908
For sale,Dzegužkalns,Buļļu 33,4,160.1,6.0,7.0,Jaun.,Brick,All amenities,162000.0,56.96845095000001,24.052010318827246
For sale,centrs,Pērnavas 39,1,26.0,2.0,6.0,P. kara,Brick,All amenities,33150.0,56.9555075,24.153498939456263
For sale,centrs,Eksporta 14,2,56.0,1.0,5.0,P. kara,Brick,All amenities,83000.0,56.956763,24.0954531
For sale,Sarkandaugava,Allažu 1,1,29.0,4.0,5.0,Hrušč.,Brick,All amenities,25450.0,56.997753,24.1197427
For sale,Mežciems,Kaivas 50/1,4,75.0,5.0,5.0,Jaun.,Brick-Panel,All amenities,82830.0,56.9541725,24.2443253
For sale,Mežciems,Kaivas 50/1,3,75.0,1.0,5.0,Jaun.,Brick-Panel,All amenities,82500.0,56.9541725,24.2443253
For sale,Mežciems,Kaivas 50/1,2,46.0,3.0,5.0,Jaun.,Brick-Panel,All amenities,53245.0,56.9541725,24.2443253
For sale,Mežciems,Kaivas 50/1,2,57.0,3.0,5.0,Jaun.,Brick-Panel,All amenities,64975.0,56.9541725,24.2443253
For sale,Imanta,Akāciju 2d,4,78.0,2.0,9.0,Jaun.,Panel,All amenities,148799.0,56.95141320000001,24.00387617537462
For sale,Citi,Bauskas 190a,2,46.0,1.0,5.0,Hrušč.,Brick,All amenities,70000.0,56.9141787,24.1217522
For sale,Citi,Rātsupītes 3,3,78.0,5.0,6.0,Jaun.,Masonry,All amenities,103500.0,56.9832818,24.02987705155696
For sale,Citi,"Daugavgrīvas šoseja 1b, Rīga",2,38.0,2.0,2.0,Specpr.,Masonry,Partial amenities,15600.0,57.0147088,24.0662096
For sale,Citi,Bauskas 187,2,57.0,9.0,9.0,Specpr.,Brick-Panel,All amenities,62000.0,56.9141787,24.1217522
For sale,Citi,Rātsupītes 3,2,68.0,5.0,6.0,Jaun.,Masonry,All amenities,101500.0,56.9832818,24.02987705155696
For sale,Citi,Biķernieku 218,3,66.0,2.0,5.0,103.,Brick-Panel,All amenities,45000.0,56.95765645,24.29116442484242
For sale,Citi,Lēdurgas 2/4,2,36.0,2.0,3.0,P. kara,Masonry,Without amenities,12500.0,57.01974010000001,24.1288213
For sale,Citi,Traleru 3,2,43.0,1.0,2.0,Specpr.,Brick,Partial amenities,17000.0,57.0621312,24.054251500000003
For sale,Citi,Ezera 5,1,29.0,1.0,2.0,P. kara,Wood,All amenities,12000.0,57.01927645,24.127157633502087
For sale,Citi,Ieriķu 54,2,60.0,1.0,2.0,Staļina,Masonry,All amenities,39999.0,56.9653522,24.1647985
For sale,Citi,Albatrosu 22,1,34.0,4.0,5.0,Specpr.,Brick-Panel,All amenities,26000.0,57.05201379999999,24.0678711
For sale,Citi,Ādažu 11,4,158.0,2.0,3.0,Jaun.,Brick-Panel,All amenities,199000.0,57.02123470000001,24.129702
For sale,Ķengarags,Ķengaraga 7,2,38.0,2.0,5.0,LT proj.,Panel,All amenities,28900.0,56.91540985,24.1694184
For sale,Āgenskalns,Mūkusalas 9,2,28.0,2.0,2.0,P. kara,Wood,All amenities,10500.0,56.9386094,24.09963058373713
For sale,Citi,Miglas 11a,1,29.0,1.0,2.0,Priv. m.,Wood,Without amenities,10000.0,57.0368101,24.0454551
For sale,Ziepniekkalns,Bauskas 55,2,41.0,1.0,4.0,Hrušč.,Brick,All amenities,55000.0,56.91740615000001,24.10392820000001
For sale,Zolitūde,Anniņmuižas 2,3,75.0,7.0,16.0,104.,Panel,All amenities,71500.0,56.9472774,24.009450800000003
For sale,centrs,Kazarmu 7,3,79.0,1.0,4.0,P. kara,Brick,All amenities,69000.0,56.9735033,24.1407662
For sale,Imanta,Akāciju 2d,2,51.0,2.0,9.0,Jaun.,Panel,All amenities,99899.0,56.95141320000001,24.00387617537462
For sale,Mežciems,"Kaivas iela 50-161d, Rīga",3,88.2,4.0,5.0,Jaun.,Brick-Panel,All amenities,110250.0,56.9541725,24.2443253
For sale,Mežciems,Kaivas 50k-1,4,113.0,3.0,5.0,Jaun.,Panel-Brick,Partial amenities,141375.0,56.9541725,24.2443253
For sale,Āgenskalns,Smiļģa 32,1,30.0,1.0,5.0,Hrušč.,Brick,All amenities,31000.0,56.93870705,24.078917776569327
For sale,Imanta,Jūrmalas g. 99,3,64.0,4.0,9.0,602.,Panel,All amenities,75000.0,56.952975,24.0166971
For sale,centrs,Lāčplēša 87e,5,135.0,4.0,5.0,P. kara,Brick,All amenities,179000.0,56.9488752,24.13450710842565
For sale,Teika,Ropažu 93,1,26.0,2.0,2.0,P. kara,Wood,Partial amenities,14000.0,56.9825039,24.191769304060283
For sale,centrs,Strēlnieku 19,3,77.0,1.0,3.0,P. kara,Masonry,All amenities,135000.0,56.96130605000001,24.11058219480416
For sale,Ķengarags,Maskavas 266/3,2,46.0,1.0,5.0,Hrušč.,Panel,All amenities,41000.0,56.94475115,24.11321727806241
For sale,Ķengarags,Prūšu 73,2,38.0,3.0,5.0,LT proj.,Panel,All amenities,39900.0,56.9068216,24.2021046
For sale,Iļģuciems,Lidoņu 12,2,49.0,1.0,2.0,Specpr.,Brick,All amenities,49900.0,56.9714749,24.06118755465525
For sale,Mežciems,Hipokrāta 37,3,64.0,2.0,9.0,602.,Panel,All amenities,54000.0,56.95979295,24.23773255
For sale,Teika,Ropažu 78,2,39.0,5.0,5.0,Hrušč.,Brick,All amenities,55000.0,56.9824574,24.18707503342989
For sale,centrs,Klijānu 16,3,121.0,8.0,9.0,Jaun.,Masonry,All amenities,240000.0,56.9742195,24.14835103820881
For sale,Mežaparks,"Visbijas prospekts 45, Rīga",3,110.0,2.0,3.0,Jaun.,Masonry,All amenities,270000.0,56.9955724,24.14577405
For sale,Vecmīlgrāvis,Kalngales 1,2,50.0,1.0,9.0,602.,Panel,All amenities,47000.0,57.03824475,24.09934235822412
For sale,Āgenskalns,Zeļļu 13,2,50.0,2.0,3.0,P. kara,Wood,All amenities,105000.0,56.93524705,24.07507763092478
For sale,Pļavnieki,Ulbrokas 12,2,67.2,7.0,9.0,Jaun.,Brick-Panel,All amenities,116000.0,56.94122905,24.217423167469
For sale,centrs,Valdemāra 37,3,77.6,5.0,6.0,Renov.,Masonry,All amenities,166840.0,56.958482,24.116859
For sale,Imanta,Anniņmuižas bulvāris 43,2,54.0,17.0,24.0,Jaun.,Panel,All amenities,91000.0,56.95903060000001,24.013887042853
For sale,centrs,Tallinas 20,3,49.0,4.0,5.0,P. kara,Brick,All amenities,72000.0,56.9636968,24.135789869147374
For sale,Jugla,Vangažu 15,1,33.0,1.0,12.0,Specpr.,Brick-Panel,All amenities,30000.0,56.987283700000006,24.22981595462379
For sale,Pļavnieki,Saharova 5,3,62.0,8.0,9.0,602.,Panel,All amenities,72000.0,56.934949,24.20128716471765
For sale,centrs,Marijas 16,2,45.0,7.0,7.0,Renov.,Masonry,All amenities,103500.0,56.9505796,24.1255938
For sale,centrs,Valdemāra 37,3,78.0,3.0,6.0,Renov.,Masonry,All amenities,159732.0,56.958482,24.116859
For sale,Citi,Maskavas 198,2,56.0,5.0,5.0,Staļina,Brick,All amenities,43770.0,56.92851835,24.16409115
For sale,Citi,Asara 12,2,37.0,4.0,5.0,Renov.,Masonry,All amenities,74000.0,56.9553833,24.1488881
For sale,centrs,Čaka 36,2,48.0,2.0,4.0,Renov.,Masonry,All amenities,96390.0,56.952698,24.1299733
For sale,centrs,Stabu 57,3,99.0,4.0,4.0,P. kara,Brick,All amenities,129900.0,56.9599606,24.1209763
For sale,centrs,Upes 3,2,44.0,1.0,4.0,Hrušč.,Brick,All amenities,39000.0,56.9766924,24.14165
For sale,centrs,Blaumaņa 27,3,101.0,5.0,5.0,P. kara,Brick,All amenities,125000.0,56.95197690000001,24.12618976805556
For sale,Purvciems,Mārcienas 8,4,94.0,9.0,9.0,119.,Panel,All amenities,91000.0,56.9536789,24.1668081
For sale,Mežaparks,Ezermalas 19,3,70.0,1.0,12.0,Specpr.,Brick-Panel,All amenities,78000.0,57.00012555,24.16945739771433
For sale,Iļģuciems,Buļļu 25,1,44.0,7.0,9.0,Specpr.,Panel,All amenities,42990.0,56.9664355,24.05289630872788
For sale,Sarkandaugava,Sarkandaugavas 26,2,45.0,5.0,5.0,Hrušč.,Brick,All amenities,32000.0,57.0021488,24.1248028
For sale,Sarkandaugava,Sarkandaugavas 26,2,41.0,1.0,5.0,Hrušč.,Brick,All amenities,28000.0,57.0021488,24.1248028
For sale,Ķengarags,Maltas 15,3,60.0,5.0,5.0,LT proj.,Panel,All amenities,43000.0,56.9106275,24.18366947064893
For sale,Purvciems,Vaidavas 8,2,42.0,3.0,5.0,Hrušč.,Brick,All amenities,52100.0,56.96199595,24.17552785
For sale,Citi,Dzērvju 10,3,60.0,4.0,9.0,467.,Panel,All amenities,44900.0,56.93090445,24.168484590775968
For sale,Imanta,Jūrmalas g. 95,2,50.0,4.0,9.0,602.,Panel,All amenities,46500.0,56.952975,24.0166971
For sale,Jugla,Ciemupes 1,3,100.0,2.0,9.0,Jaun.,Masonry,All amenities,125000.0,56.9879953,24.246103566391607
For sale,Imanta,Dammes 31,2,49.0,9.0,9.0,602.,Panel,All amenities,51000.0,56.96469885,24.00758217589692
For sale,Imanta,Kooperatīva 4a,3,61.0,1.0,5.0,LT proj.,Panel,All amenities,62999.0,56.95369035,24.030969651651542
For sale,centrs,Zaļā 10,3,86.0,1.0,5.0,P. kara,Masonry,All amenities,168000.0,56.9594676,24.115743
For sale,Citi,Gobas 35,2,49.0,5.0,5.0,LT proj.,Panel,All amenities,27450.0,57.0322103,24.05413750223143
For sale,centrs,Ģertrūdes 98,1,21.0,4.0,5.0,P. kara,Masonry,Partial amenities,19000.0,56.94805329999999,24.138467676743343
For sale,Mežaparks,"Viestura prospekts 16, Rīga",2,49.0,2.0,9.0,467.,Panel,All amenities,43000.0,57.01779635,24.13179245
For sale,Jugla,Ciemupes 1,2,102.0,5.0,9.0,Jaun.,Brick-Panel,All amenities,130000.0,56.9879953,24.246103566391607
For sale,Maskavas priekšpilsēta,Katoļu 9,2,61.0,3.0,6.0,Renov.,Brick-Panel,All amenities,91000.0,56.94181855,24.136004360151063
For sale,Purvciems,Madonas 23,1,53.0,4.0,17.0,Specpr.,Brick-Panel,All amenities,49000.0,56.961245700000006,24.1717202
For sale,Purvciems,Andromedas g. 12,1,29.0,4.0,5.0,LT proj.,Panel,All amenities,28400.0,56.9604259,24.201209
For sale,Vecrīga,Mārstaļu 2k4,4,126.0,4.0,4.0,Specpr.,Masonry,All amenities,220000.0,56.9451747,24.1075711
For sale,centrs,Tallinas 38,3,75.0,2.0,4.0,P. kara,Masonry,All amenities,95000.0,56.9614077,24.139456133055788
For sale,centrs,Ģertrūdes 30,5,140.0,6.0,6.0,Renov.,Masonry,All amenities,240000.0,56.9552195,24.1262819
For sale,centrs,Barona 36,3,87.0,4.0,6.0,Renov.,Masonry,All amenities,250000.0,56.9531436,24.1255034
For sale,centrs,Stabu 60,4,123.0,3.0,5.0,P. kara,Brick,All amenities,163000.0,56.95301735,24.13486328165026
For sale,Ķengarags,Maskavas 252 k-6,2,47.0,4.0,5.0,LT proj.,Panel,All amenities,41500.0,56.9133542,24.17218735254186
For sale,centrs,Lāčplēša 7,3,82.0,2.0,5.0,P. kara,Masonry,All amenities,265000.0,56.957715,24.119110963478683
For sale,Ķengarags,"Maskavas 252-k-5, Rīga",2,48.0,3.0,5.0,LT proj.,Panel,All amenities,34999.0,56.9136866,24.173133454289516
For sale,Citi,Zvejnieku 9,1,33.0,1.0,1.0,P. kara,Brick,All amenities,46000.0,56.95999820000001,24.081138525471196
For sale,Iļģuciems,Saulgožu 13,2,41.0,5.0,6.0,Hrušč.,Brick,All amenities,39000.0,56.96529995,24.047907284041845
For sale,centrs,Ausekļa 7,2,70.0,5.0,6.0,P. kara,Masonry,All amenities,250000.0,56.96104425,24.09965575534737
For sale,Teika,Ūnijas 58a,3,59.0,4.0,5.0,LT proj.,Panel,All amenities,55000.0,56.96372375,24.178713829735
For sale,Ziepniekkalns,Dignājas 3,4,94.0,5.0,5.0,Jaun.,Panel,All amenities,176000.0,56.912781,24.119191453427128
For sale,Purvciems,Deglava 164,1,32.0,4.0,9.0,602.,Panel-Brick,All amenities,42000.0,56.94351315,24.22480302699861
For sale,centrs,Ģertrūdes 30,5,139.0,3.0,6.0,Renov.,Masonry,All amenities,320000.0,56.9552195,24.1262819
For sale,centrs,Barona 80,1,32.0,3.0,4.0,Staļina,Brick,All amenities,48900.0,56.957651,24.13457794789045
For sale,Teika,Bērzpils 1,2,47.0,2.0,5.0,Specpr.,Brick,All amenities,47000.0,56.97918625,24.1706639381423
For sale,Citi,Zilupes 23,1,26.0,2.0,2.0,P. kara,Wood,Partial amenities,12700.0,56.926804,24.169731201668466
For sale,centrs,Tallinas 86,3,72.0,3.0,5.0,Renov.,Masonry,All amenities,141400.0,56.95652115,24.147680900018845
For sale,Šampēteris-Pleskodāle,Šampētera 9,2,53.0,2.0,2.0,Renov.,Wood,All amenities,65000.0,56.94181260000001,24.038539163099077
For sale,centrs,Tomsona 21,2,57.0,1.0,6.0,P. kara,Masonry,All amenities,54900.0,56.9650449,24.12581645622452
For sale,Citi,Stagaru 4,1,35.0,4.0,5.0,Hrušč.,Brick-Panel,All amenities,23000.0,57.02965155,24.035975194523694
For sale,Dzegužkalns,Purva 25,2,37.4,4.0,5.0,LT proj.,Panel,All amenities,37000.0,56.95770335,24.05052070142095
For sale,Purvciems,Ūnijas 67,3,88.0,6.0,6.0,Jaun.,Panel,All amenities,164373.0,56.9651555,24.178322491196127
For sale,Purvciems,Ūnijas 67,3,79.8,2.0,6.0,Jaun.,Panel,All amenities,149226.0,56.9651555,24.178322491196127
For sale,Purvciems,Ūnijas 67,3,87.0,2.0,6.0,Jaun.,Panel,All amenities,170871.0,56.9651555,24.178322491196127
For sale,Purvciems,Ūnijas 67,3,88.4,6.0,6.0,Jaun.,Panel,All amenities,165308.0,56.9651555,24.178322491196127
For sale,Purvciems,Ūnijas 67,4,107.5,5.0,6.0,Jaun.,Panel,All amenities,206000.0,56.9651555,24.178322491196127
For sale,Šampēteris-Pleskodāle,Irlavas 20,4,98.0,2.0,5.0,Specpr.,Brick-Panel,All amenities,120000.0,56.939423100000006,24.035948911819357
For sale,Purvciems,Ūnijas 67,3,67.0,3.0,6.0,Jaun.,Panel,All amenities,135000.0,56.9651555,24.178322491196127
For sale,centrs,Indrānu 8,2,56.0,2.0,7.0,Jaun.,Brick-Panel,All amenities,108000.0,56.9684979,24.1467035
For sale,Citi,"Čiekurkalna 2. līnija 23, Rīga",1,28.0,2.0,2.0,P. kara,Brick,All amenities,18890.0,56.9855693,24.16993195
For sale,Imanta,"Kurzemes prospekts 34, Rīga",3,66.0,5.0,5.0,LT proj.,Panel,All amenities,63000.0,56.961733,24.03026041879678
For sale,Iļģuciems,Dzirciema 59,2,50.0,5.0,9.0,467.,Panel,All amenities,42300.0,56.9623515,24.053733811965035
For sale,Citi,Parādes 1,3,67.0,5.0,5.0,103.,Brick-Panel,All amenities,45000.0,57.04203760000001,24.0328874
For sale,Pļavnieki,Pļavnieku 12,1,40.0,2.0,9.0,M. ģim.,Panel,All amenities,41500.0,56.94116275,24.21256985287885
For sale,Citi,Kuģu 15,2,68.0,6.0,6.0,Jaun.,Masonry,All amenities,310000.0,56.94308385,24.0955521471894
For sale,Mežciems,Druvienas 34,2,49.0,4.0,5.0,LT proj.,Panel,All amenities,47500.0,56.9698179,24.232501150000008
For sale,Teika,Brīvības gatve 236,2,57.0,4.0,5.0,Staļina,Masonry,All amenities,85000.0,56.9738101,24.170066589282133
For sale,Ķengarags,Lokomotīves 22,3,58.0,5.0,5.0,Specpr.,Brick,All amenities,56000.0,56.915126,24.1882386
For sale,Pļavnieki,Pļavnieku 8,3,63.0,1.0,9.0,602.,Panel,All amenities,71000.0,56.94168555,24.21198941201094
For sale,Citi,Kuģu 15,3,78.0,3.0,3.0,Renov.,Brick,All amenities,310000.0,56.94308385,24.0955521471894
For sale,Citi,Kuģu 15,2,42.0,2.0,3.0,Renov.,Brick,All amenities,150000.0,56.94308385,24.0955521471894
For sale,Citi,Mores 17,2,53.0,1.0,3.0,Jaun.,Masonry,All amenities,74087.0,57.0200178,24.1371463
For sale,centrs,Ģertrūdes 113,2,43.0,3.0,7.0,P. kara,Masonry,All amenities,58000.0,56.9488564,24.138497033950248
For sale,Purvciems,Ķeguma 60,1,40.0,5.0,5.0,M. ģim.,Panel,All amenities,27499.0,56.96471700000001,24.196298448895
For sale,Ķengarags,Aglonas 2,2,50.0,7.0,12.0,Čehu pr.,Brick,All amenities,46700.0,56.91103805,24.184276200068123
For sale,centrs,Brīvības 147,3,75.0,3.0,6.0,Renov.,Masonry,All amenities,124000.0,56.96548375,24.142497959635968
For sale,Ziepniekkalns,Bauskas 151,2,33.0,2.0,2.0,P. kara,Wood,Partial amenities,16000.0,56.91376315,24.14165958702784
For sale,Vecrīga,Kungu 25,4,93.0,3.0,5.0,Jaun.,Masonry,All amenities,185000.0,56.9453382,24.109463953308826
For sale,Vecmīlgrāvis,Melīdas 11,4,78.0,3.0,9.0,467.,Panel-Brick,All amenities,67000.0,57.03189690000001,24.1109505
For sale,Āgenskalns,Kalnciema 81,4,87.0,2.0,2.0,P. kara,Masonry,All amenities,57000.0,56.9386534,24.05182415
For sale,Mežciems,Biķernieku 160,3,77.0,2.0,4.0,Jaun.,Panel-Brick,All amenities,129500.0,56.9569585,24.2536804
For sale,Imanta,Anniņmuižas bulvāris 38k1,3,80.0,14.0,18.0,Jaun.,Brick-Panel,All amenities,145000.0,56.9543914,24.0086771
For sale,Pļavnieki,Rudens 5,1,35.0,1.0,9.0,602.,Panel,All amenities,27900.0,56.93860365000001,24.19904049984159
For sale,Purvciems,Kurmju 7,2,42.0,2.0,2.0,Specpr.,Brick,All amenities,47000.0,56.953575,24.1861001019558
For sale,centrs,Stabu 62,3,83.0,4.0,5.0,P. kara,Masonry,All amenities,112000.0,56.9527501,24.1355324
For sale,Pļavnieki,Salnas 3,4,77.0,7.0,9.0,602.,Panel,All amenities,63900.0,56.9436071,24.218939310748866
For sale,Purvciems,Dzelzavas 23,3,64.0,7.0,9.0,602.,Panel,All amenities,62000.0,56.9601343,24.176538817283724
For sale,Pļavnieki,"Jukuma Vācieša iela 2g, Rīga",1,44.0,5.0,16.0,Specpr.,Panel,All amenities,45000.0,56.9331874,24.204358201582465
For sale,Citi,Rusova 9,3,77.0,1.0,7.0,Jaun.,Brick,All amenities,121000.0,56.98909155,24.170334430251565
For sale,Ziepniekkalns,Zaļenieku 22,3,55.0,2.0,5.0,Hrušč.,Brick,All amenities,65000.0,56.90813455,24.0977731
For sale,Iļģuciems,Grīvas 25,1,39.0,1.0,5.0,Hrušč.,Brick,All amenities,38500.0,56.9640088,24.047192846130866
For sale,Purvciems,Deglava 61,4,92.0,7.0,10.0,119.,Panel,All amenities,129000.0,56.9509836,24.18163572456613
For sale,Imanta,Anniņmuižas bulvāris 38k4,3,82.0,9.0,18.0,Jaun.,Panel,All amenities,120000.0,56.9543914,24.0086771
For sale,Āgenskalns,Mārupes 10,2,50.0,2.0,4.0,Staļina,Brick,All amenities,62000.0,56.9326289,24.0720247
