op_type,district,street,rooms,area,floor,total_floors,house_seria,house_type,condition,price,lat,lon
For sale,centrs,Avotu 4,2,41.0,2.0,5.0,Renov.,Brick,All amenities,53500.0,56.95081629999999,24.1271389
For sale,Purvciems,Nīcgales 21,3,59.0,1.0,5.0,LT proj.,Panel,All amenities,53500.0,56.95508155,24.1768222238815
For sale,Imanta,Kleistu 8,3,67.0,2.0,5.0,LT proj.,Panel,Partial amenities,58000.0,56.96056895,24.02284250000001
For sale,centrs,Stabu 18a,4,138.0,3.0,5.0,P. kara,Masonry,All amenities,199000.0,56.9599606,24.1209763
For sale,centrs,Barona 14,2,47.0,2.0,5.0,Renov.,Masonry,All amenities,147000.0,56.9506147,24.1212313
For sale,Āgenskalns,Slokas 13a,4,88.0,2.0,4.0,P. kara,Brick,All amenities,105000.0,56.944822,24.074874985343733
For sale,Pļavnieki,Saharova 27,3,73.0,4.0,16.0,Specpr.,Masonry,All amenities,89000.0,56.941385700000005,24.2040933
For sale,centrs,Artilērijas 35b,3,73.0,4.0,4.0,Renov.,Masonry,All amenities,135000.0,56.9607774,24.1360568
For sale,centrs,Artilērijas 35b,2,52.0,3.0,4.0,Renov.,Masonry,All amenities,90000.0,56.9607774,24.1360568
For sale,Imanta,Vīksnes 21,4,125.0,5.0,7.0,Jaun.,Brick-Panel,All amenities,210000.0,56.95789295,24.00103547044425
For sale,Pļavnieki,Slāvu 13,3,67.0,7.0,9.0,602.,Brick-Panel,All amenities,65000.0,56.93072539999999,24.181101
For sale,Citi,Juglasciema b. 54,2,56.0,2.0,2.0,Jaun.,Masonry,All amenities,83800.0,56.971791,24.3179227
For sale,Citi,Ogļu 30,3,104.0,2.0,2.0,Jaun.,Masonry,All amenities,320000.0,56.9606804,24.08183636276761
For sale,centrs,Blaumaņa 21,2,80.0,1.0,7.0,P. kara,Masonry,All amenities,141000.0,56.95264935,24.125906961191163
For sale,centrs,Šarlotes 7,2,33.0,3.0,7.0,Jaun.,Brick-Panel,All amenities,80000.0,56.964586100000005,24.1286325
For sale,centrs,Zvaigžņu 24,3,72.4,2.0,6.0,Specpr.,Brick,All amenities,85000.0,56.9607411,24.1497716
For sale,centrs,Elizabetes 57a,3,167.0,1.0,7.0,Renov.,Brick-Panel,Without amenities,19999.0,56.9540264,24.11913348663564
For sale,Jugla,Juglas 23-18,2,45.0,5.0,5.0,Hrušč.,Panel,All amenities,29999.0,56.9761694,24.2544503
For sale,centrs,Birznieka-Upīša 10,3,71.0,2.0,5.0,Renov.,Masonry,All amenities,159750.0,56.9488745,24.12660274460919
For sale,Vecrīga,Peitavas 5,3,91.0,3.0,5.0,P. kara,Masonry,All amenities,164000.0,56.9462191,24.1099153
For sale,Imanta,Dammes 13,2,50.0,1.0,9.0,602.,Panel,All amenities,41700.0,56.9618014,24.010691273060157
For sale,Zolitūde,Gramzdas 80,4,176.0,4.0,4.0,Jaun.,Brick-Panel,All amenities,168000.0,56.94145735,24.00301883923461
For sale,centrs,Bruņinieku 68a,2,45.0,2.0,4.0,P. kara,Brick,All amenities,43500.0,56.952567,24.1378884
For sale,Āgenskalns,Mūkusalas 25,4,170.0,5.0,6.0,Jaun.,Masonry,All amenities,270000.0,56.93740390000001,24.10117626311409
For sale,Purvciems,Pūces 45,3,95.0,6.0,7.0,Jaun.,Masonry,All amenities,148000.0,56.952728500000006,24.19079871060433
For sale,centrs,Ausekļa 8,2,53.0,5.0,6.0,Specpr.,Brick-Panel,All amenities,107000.0,56.9606806,24.1003622
For sale,Ziepniekkalns,Graudu 29,4,109.0,3.0,4.0,Jaun.,Masonry,All amenities,185300.0,56.91000915,24.099144301381912
For sale,Āgenskalns,Lielirbes 13,2,67.0,9.0,30.0,Jaun.,Masonry,All amenities,99875.0,56.933499600000005,24.0424848
For sale,centrs,"11. novembra krastmala 11, Rīga",4,170.0,5.0,6.0,Jaun.,Masonry,All amenities,270000.0,56.9461029,24.1044827
For sale,centrs,Avotu 4,2,34.8,2.0,5.0,Renov.,Masonry,All amenities,59000.0,56.95081629999999,24.1271389
For sale,centrs,Barona 14,2,40.3,5.0,5.0,Renov.,Masonry,All amenities,79000.0,56.9506147,24.1212313
For sale,centrs,Barona 14,2,35.0,4.0,5.0,Renov.,Masonry,All amenities,69000.0,56.9506147,24.1212313
For sale,Āgenskalns,Kalnciema 57,2,52.0,4.0,4.0,Staļina,Masonry,All amenities,55000.0,56.94119075,24.058680141169287
For sale,Vecrīga,Laipu 6,1,25.0,3.0,5.0,P. kara,Masonry,All amenities,82500.0,56.9490258,24.108235248673573
For sale,centrs,Lugažu 4,2,45.0,1.0,5.0,LT proj.,Panel,All amenities,49500.0,56.97475175,24.10917940000001
For sale,centrs,Brīvības 30,3,82.0,4.0,4.0,P. kara,Masonry,All amenities,170000.0,56.9520463,24.11476
For sale,Vecrīga,Laipu 6,2,48.0,2.0,4.0,Renov.,Masonry,All amenities,130000.0,56.9490258,24.108235248673573
For sale,Citi,Gobas 28,3,67.0,5.0,5.0,103.,Brick-Panel,All amenities,49900.0,57.02771755,24.05580097972616
For sale,Ķengarags,Maskavas 238,4,140.0,2.0,7.0,Jaun.,Brick-Panel,All amenities,155000.0,56.8597884,24.3083417
For sale,Citi,Ogres 5,4,140.0,2.0,7.0,Jaun.,Brick-Panel,All amenities,155000.0,56.92735995,24.164623665228792
For sale,Jugla,Kvēles 15/15,3,59.0,3.0,5.0,LT proj.,Panel,All amenities,62000.0,56.9816726,24.2465564
