id,country,city,district,address,rooms,area,floor,series,price,price_per_meter,has_geocode,latt,longt,stnumber,staddress,created,last_seen
76,Latvia,Riga,Purvciems,Ilūkstes 42,3,78.0,7,119. sērija,75000.0,961.54,1,56.94848,24.1983,42.0,Ilūkstes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
77,Latvia,Riga,Vecrīga,Vāgnera 14,2,28.0,2,Pirmskara projekts,79000.0,2821.43,1,56.94866,24.11157,14.0,Riharda Vāgnera iela,2019-06-07 08:01:38,2019-06-16 08:01:11
78,Latvia,Riga,Zolitūde,Lejiņa 18,3,76.0,1,119. sērija,81000.0,1065.79,1,56.94727,24.02124,18.0,Paula Lejiņa iela,2019-06-07 08:01:38,2019-06-16 08:01:11
79,Latvia,Riga,Centrs,Lienes 27,2,55.0,1,Pirmskara projekts,37000.0,672.73,1,56.95203,24.15015,27.0,Lienes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
80,Latvia,Riga,Centrs,Lāčplēša 77,2,52.0,4,Pirmskara projekts,57200.0,1100.0,1,56.94958,24.13329,77.0,Lāčplēša iela,2019-06-07 08:01:38,2019-06-16 08:01:11
81,Latvia,Riga,Ziepniekkalns,Ozolciema 18,3,84.0,8,119. sērija,63000.0,750.0,1,56.89883,24.08506,18.0,Ozolciema iela,2019-06-07 08:01:38,2019-06-16 08:01:11
82,Latvia,Riga,Jugla,Ciemupes 1,2,102.0,2,Jaunais projekts,130000.0,1274.51,1,56.98807,24.24669,1.0,Ciemupes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
83,Latvia,Riga,Citi,Rusova 32,1,40.0,4,Mazģimeņu projekts,29990.0,749.75,1,56.98623,24.17491,32.0,Rusova iela,2019-06-07 08:01:38,2019-06-16 08:01:10
84,Latvia,Riga,Purvciems,Brantkalna 11,3,75.0,5,119. sērija,82000.0,1093.33,1,56.94999,24.19274,11.0,Detlava Brantkalna iela,2019-06-07 08:01:38,2019-06-16 08:01:11
85,Latvia,Riga,Centrs,Avotu 73,3,83.0,2,Pirmskara projekts,123990.0,1493.86,1,56.95354,24.14494,73.0,Avotu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
88,Latvia,Riga,Vecmīlgrāvis,Vanadziņa g. 1,3,61.0,4,467. sērija,66000.0,1081.97,1,57.03247,24.1078,1.0,Vanadziņa gatve,2019-06-07 08:01:38,2019-06-16 08:01:11
89,Latvia,Riga,Jugla,Juglas 31,2,42.0,2,Staļina projekts,35400.0,842.86,1,56.98157,24.25184,31.0,Juglas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
