id,country,city,district,address,rooms,area,floor,series,price,price_per_meter,has_geocode,latt,longt,stnumber,staddress,created,last_seen
106,Latvia,Riga,Imanta,Dammes 1,2,50.00,8,602. sērija,55000.00,1100.00,1,56.9610600000,24.0127000000,1,Dammes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
107,Latvia,Riga,Centrs,Čaka 68,4,110.00,6,Pirmskara projekts,119000.00,1081.82,1,56.9554900000,24.1353200000,68,Aleksandra Čaka iela,2019-06-07 08:01:38,2019-06-16 08:01:11
108,Latvia,Riga,Mežaparks,Ezermalas 2,1,32.00,9,Čehu projekts,32000.00,1000.00,1,56.9926800000,24.1924300000,2,Ezermalas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
109,Latvia,Riga,Purvciems,Dzelzavas 2,3,92.00,2,Pirmskara projekts,85000.00,923.91,1,56.9644900000,24.1666100000,2,Dzelzavas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
110,Latvia,Riga,Centrs,Mūrnieku 12A,3,78.00,2,Renovēts,183000.00,2346.15,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:11
111,Latvia,Riga,Imanta,Anniņmuižas 28,5,104.00,1,Specprojekts,93000.00,894.23,1,56.9601300000,24.0204900000,28,Anniņmuižas bulvāris,2019-06-07 08:01:38,2019-06-16 08:01:11
112,Latvia,Riga,Teika,Ieriķu 41,3,60.00,4,Lietuviešu projekts,79000.00,1316.67,1,56.9662200000,24.1824700000,41,Ieriķu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
113,Latvia,Riga,Purvciems,Dzelzavas 40,3,76.00,6,104. sērija,71600.00,942.11,1,56.9575300000,24.1790600000,40,Dzelzavas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
114,Latvia,Riga,Torņakalns,Jelgavas 63,4,104.00,1,Jaunais projekts,152000.00,1461.54,1,56.9282700000,24.0929400000,63,Jelgavas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
115,Latvia,Riga,Šampēteris-Pleskodāle,Stendes 7,1,12.00,3,Specprojekts,15500.00,1291.67,1,56.9143300000,24.0888900000,7,Pastendes iela,2019-06-07 08:01:38,2019-06-16 08:01:11
116,Latvia,Riga,Purvciems,Ieriķu 33,2,46.00,5,Lietuviešu projekts,32000.00,695.65,1,56.9669400000,24.1785100000,33,Ieriķu iela,2019-06-07 08:01:38,2019-06-07 08:01:38
117,Latvia,Riga,Centrs,Skolas 25,4,126.00,4,Pirmskara projekts,185000.00,1468.25,1,56.9592300000,24.1209400000,25,Skolas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
118,Latvia,Riga,Vecmīlgrāvis,Emmas 28,2,31.00,1,Renovēts,39168.00,1263.48,1,57.0321900000,24.1167900000,28,Emmas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
119,Latvia,Riga,Vecrīga,M. Smilšu 11,1,24.00,4,Pirmskara projekts,58000.00,2416.67,1,56.9501900000,24.1092200000,11,Mazā Smilšu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
120,Latvia,Riga,Centrs,Cēsu 43,3,98.00,5,Pirmskara projekts,96000.00,979.59,1,56.9663200000,24.1441400000,43,Cēsu iela,2019-06-07 08:01:38,2019-06-11 08:00:47
121,Latvia,Riga,Centrs,Tērbatas 59/61,4,97.00,6,Renovēts,145350.00,1498.45,0,,,,,2019-06-07 08:01:38,2019-06-16 08:01:10
122,Latvia,Riga,Centrs,Zaļā 3,2,68.00,2,Pirmskara projekts,110000.00,1617.65,1,56.9593400000,24.1149400000,3,Zaļā iela,2019-06-07 08:01:38,2019-06-16 08:01:11
123,Latvia,Riga,Maskavas priekšpilsēta,Rēznas 7,2,39.00,3,Hruščova projekts,33300.00,853.85,1,56.9366300000,24.1623100000,7,Rēznas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
124,Latvia,Riga,Centrs,Blaumaņa 12,2,47.00,5,Renovēts,117918.00,2508.89,1,56.9546400000,24.1223300000,12,Blaumaņa iela,2019-06-07 08:01:38,2019-06-16 08:01:11
125,Latvia,Riga,Iļģuciems,Saulgožu 13,1,30.00,5,Hruščova projekts,25000.00,833.33,1,56.9653300000,24.0479200000,13,Saulgožu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
126,Latvia,Riga,Centrs,Tallinas 77,3,75.00,2,Pirmskara projekts,89000.00,1186.67,1,56.9575800000,24.1476500000,77,Tallinas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
127,Latvia,Riga,Vecrīga,Alksnāja 10,2,94.00,2,Renovēts,200000.00,2127.66,1,56.9461700000,24.1113700000,10,Alksnāja iela,2019-06-07 08:01:38,2019-06-16 08:01:11
128,Latvia,Riga,Purvciems,Dzelzavas 88,3,63.00,4,Lietuviešu projekts,62000.00,984.13,1,56.9540800000,24.2057500000,88,Dzelzavas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
129,Latvia,Riga,Imanta,Kurzemes pr. 18,2,43.00,4,Specprojekts,59892.00,1392.84,1,56.9585400000,24.0338700000,18,Kurzemes prospekts,2019-06-07 08:01:38,2019-06-16 08:01:11
130,Latvia,Riga,Jugla,Baltezera 1,3,58.00,4,Specprojekts,50000.00,862.07,1,56.9927000000,24.2400600000,1,Baltezera iela,2019-06-07 08:01:38,2019-06-16 08:01:11
131,Latvia,Riga,Centrs,Hospitāļu 8,4,107.00,6,Jaunais projekts,186500.00,1742.99,1,56.9716600000,24.1371200000,8,Hospitāļu iela,2019-06-07 08:01:38,2019-06-16 08:01:11
132,Latvia,Riga,Bolderāja,Gaigalas 23,1,34.00,1,103. sērija,24500.00,720.59,1,57.0287700000,24.0513400000,23,Gaigalas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
133,Latvia,Riga,Pļavnieki,Ilūkstes 32,3,76.00,7,119. sērija,74000.00,973.68,1,56.9451100000,24.1975800000,32,Ilūkstes iela,2019-06-07 08:01:38,2019-06-10 08:01:03
134,Latvia,Riga,Vecmīlgrāvis,Melīdas 11,4,78.00,3,467. sērija,70000.00,897.44,1,57.0324300000,24.1100500000,11,Melīdas iela,2019-06-07 08:01:38,2019-06-16 08:01:11
